symbol,company_name,series,isin,listing_date,sector,industry,basic_industry,classification_status,classification_source,classification_failure_reason,fallback_bse_attempt_count,fallback_bse_last_attempt_utc
KRISHNADEF,Krishna Defence And Allied Industries Limited,EQ,INE0J5601015,2025-12-30,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
KRITIKA,Kritika Wires Limited,EQ,INE00Z501029,2022-05-04,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
KSHITIJPOL,Kshitij Polyline Limited,EQ,INE013801027,2022-07-27,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
LAGNAM,Lagnam Spintex Limited,EQ,INE548Z01017,2021-09-30,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
LATTEYS,Latteys Industries Limited,EQ,INE262Z01023,2023-05-23,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
LAXMICOT,Laxmi Cotspin Limited,EQ,INE801V01019,2021-11-12,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
LEMERITE,Le Merite Exports Limited,EQ,INE0G1L01025,2025-12-12,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
LEXUS,Lexus Granito (India) Limited,EQ,INE500X01013,2023-03-13,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
LFIC,Lakshmi Finance & Industrial Corporation Limited,EQ,INE850E01012,2015-04-15,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
LGHL,Laxmi Goldorna House Limited,EQ,INE258Y01016,2023-11-10,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
LIBAS,Libas Consumer Products Limited,EQ,INE908V01012,2019-07-23,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
MACPOWER,Macpower CNC Machines Limited,EQ,INE155Z01011,2020-08-19,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
MAHESHWARI,Maheshwari Logistics Limited,BE,INE263W01010,2019-04-15,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
MARINE,Marine Electricals (India) Limited,EQ,INE01JE01028,2020-12-02,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
MASKINVEST,Mask Investments Limited,EQ,INE885F01015,2016-10-14,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
MBAPL,Madhya Bharat Agro Products Limited,EQ,INE900L01028,2019-08-22,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
MCL,M TEK COPPER LIMITED,EQ,INE813V01022,2020-08-19,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
MITCON,MITCON Consultancy & Engineering Services Limited,BE,INE828O01033,2022-03-17,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
MITTAL,Mittal Life Style Limited,EQ,INE997Y01027,2020-04-29,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
MMP,MMP Industries Limited,EQ,INE511Y01018,2020-01-09,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
MOKSH,Moksh Ornaments Limited,EQ,INE514Y01020,2021-05-21,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
NBIFIN,N. B. I. Industrial Finance Company Limited,EQ,INE365I01020,2016-11-23,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
NDGL,Naga Dhunseri Group Limited,EQ,INE756C01015,2016-08-29,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
NIRAJISPAT,Niraj Ispat Industries Limited,EQ,INE326T01011,2016-10-27,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
NITIRAJ,Nitiraj Engineers Limited,EQ,INE439T01012,2021-04-22,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
NRL,Nupur Recyclers Limited,BE,INE0JM501013,2023-01-12,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
OSIAHYPER,Osia Hyper Retail Limited,BE,INE06IR01021,2022-12-01,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: TimeoutError: Request timed out | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,EQ,INE00IK01029,2023-02-28,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
