symbol,company_name,series,isin,listing_date,industry,basic_industry,sector,classification_status,classification_source,fallback_bse_attempted,classification_failure_reason,yahoo_ticker,yahoo_sector,yahoo_industry,yahoo_quote_type,yahoo_attempted,yahoo_failure_reason
SILLYMONKS,Silly Monks Entertainment Limited,EQ,INE203Y01012,2020-07-08,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
SINTERCOM,Sintercom India Limited,EQ,INE129Z01016,2020-10-07,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
SOLEX,Solex Energy Limited,EQ,INE880Y01017,2025-10-08,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
SONAMLTD,SONAM LIMITED,EQ,INE00LM01029,2022-04-07,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
SPCENET,Spacenet Enterprises India Limited,EQ,INE970N01027,2017-01-10,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
SPMLINFRA,SPML Infra Limited,EQ,INE937A01023,1996-02-14,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
STALLION,Stallion India Fluorochemicals Limited,BE,INE0RYC01010,2025-01-23,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
STEELCITY,Steel City Securities Limited,EQ,INE395H01011,2019-06-27,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
SUMIT,Sumit Woods Limited,EQ,INE748Z01013,2019-07-30,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
SUPREMEENG,Supreme Engineering Limited,BZ,INE319Z01021,2020-12-04,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
SVLL,Shree Vasu Logistics Limited,BE,INE00CE01017,2023-04-21,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
TARACHAND,Tara Chand InfraLogistic Solutions Limited,EQ,INE555Z01020,2024-04-16,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
TEMBO,Tembo Global Industries Limited,EQ,INE869Y01028,2021-04-23,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
THEJO,Thejo Engineering Limited,EQ,INE121N01019,2023-10-10,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
TIRUPATIFL,Tirupati Forge Limited,BE,INE319Y01024,2020-08-04,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
TOTAL,Total Transport Systems Limited,EQ,INE336X01012,2020-08-28,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
TOUCHWOOD,Touchwood Entertainment Limited,EQ,INE486Y01013,2020-01-21,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
TSFINV,TSF INVESTMENTS LIMITED,EQ,INE202Z01029,2018-03-26,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
UNIINFO,Uniinfo Telecom Services Limited,EQ,INE481Z01011,2022-01-12,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
UNITEDTEA,The United Nilgiri Tea Estates Company Limited,EQ,INE458F01011,2015-01-28,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
UNIVASTU,Univastu India Limited,BE,INE562X01013,2020-06-22,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
VAISHALI,Vaishali Pharma Limited,EQ,INE972X01022,2020-01-15,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
VARDHACRLC,Vardhman Acrylics Limited,BE,INE116G01013,2003-09-30,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
VCL,Vaxtex Cotfab Limited,BE,INE098201036,2022-04-19,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
VERTOZ,Vertoz Limited,BE,INE188Y01031,2020-05-14,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
VITAL,Vital Chemtech Limited,BE,INE0L4K01016,2026-03-11,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
VIVIANA,Viviana Power Tech Limited,BE,INE0MEG01014,2026-06-02,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
WIPL,The Western India Plywoods Limited,EQ,INE215F01023,2017-04-17,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
ZOTA,Zota Health Care LImited,EQ,INE358U01012,2019-08-19,,,,NOT_FOUND,,YES,COMPANY_NAME: IndexError: tuple index out of range,,,,,,
