isin,symbol,company_name,yahoo_ticker,yahoo_sector,yahoo_industry,yahoo_quote_type,classification_status,classification_source,yahoo_failure_reason,attempted_at_utc,attempt_count
INE025A01027,CONSOFINVT,Consolidated Finvest & Holdings Limited,CONSOFINVT.NS,Financial Services,Capital Markets,EQUITY,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,2026-09-08T13:05:07Z,1
INE741K01010,CREDITACC,CREDITACCESS GRAMEEN LIMITED,CREDITACC.NS,Financial Services,Credit Services,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE299U01018,CROMPTON,Crompton Greaves Consumer Electricals Limited,CROMPTON.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE491V01019,CROWN,Crown Lifters Limited,CROWN.NS,Industrials,Rental & Leasing Services,EQUITY,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,2026-09-08T13:05:07Z,1
INE688Y01022,DANGEE,Dangee Dums Limited,DANGEE.NS,Consumer Cyclical,Restaurants,EQUITY,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,2026-09-08T13:05:07Z,1
INE0IX101010,DATAPATTNS,Data Patterns (India) Limited,DATAPATTNS.NS,Industrials,Aerospace & Defense,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE921B01025,DBSTOCKBRO,DB (International) Stock Brokers Limited,DBSTOCKBRO.NS,Financial Services,Capital Markets,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE0A1101019,DCI,Dc Infotech And Communication Limited,DCI.NS,Technology,Electronics & Computer Distribution,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE360C01024,DPSCLTD,DPSC Limited,DPSCLTD.NS,Utilities,Utilities - Regulated Electric,EQUITY,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,2026-09-08T13:05:07Z,1
INE546V01010,EIFFL,Euro India Fresh Foods Limited,EIFFL.NS,Consumer Defensive,Packaged Foods,EQUITY,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,2026-09-08T13:05:07Z,1
INE819L01012,ELGIRUBCO,Elgi Rubber Company Limited,ELGIRUBCO.NS,Consumer Cyclical,Auto Parts,EQUITY,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,2026-09-08T13:05:07Z,1
INE593W01028,FOCUS,Focus Lighting and Fixtures Limited,FOCUS.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",EQUITY,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,2026-09-08T13:05:07Z,1
INE691Z01023,GANGAFORGE,Ganga Forging Limited,GANGAFORGE.NS,Industrials,Metal Fabrication,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE669X01032,GEEKAYWIRE,Geekay Wires Limited,GEEKAYWIRE.NS,Industrials,Electrical Equipment & Parts,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE947T01022,GICL,Globe International Carriers Limited,GICL.NS,Industrials,Integrated Freight & Logistics,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE528A01020,GKWLIMITED,GKW Limited,GKWLIMITED.NS,Industrials,Specialty Business Services,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE291W01037,GLOBAL,Global Education Limited,GLOBAL.NS,Consumer Defensive,Education & Training Services,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE581X01021,GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,GLOBE.NS,Consumer Cyclical,Textile Manufacturing,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE361K01017,GRADIENTE,Gradiente Infotainment Limited,GRADIENTE.NS,Communication Services,Entertainment,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE646C01018,GROBTEA,The Grob Tea Company Limited,GROBTEA.NS,Consumer Defensive,Farm Products,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE586X01012,GTECJAINX,G-TEC JAINX EDUCATION LIMITED,GTECJAINX.NS,Consumer Defensive,Education & Training Services,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE382T01030,GVPTECH,GVP Infotech Limited,GVPTECH.NS,Technology,Information Technology Services,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE558R01013,HECPROJECT,HEC Infra Projects Limited,HECPROJECT.NS,Industrials,Engineering & Construction,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE642Y01029,HINDCON,Hindcon Chemicals Limited,HINDCON.NS,Basic Materials,Specialty Chemicals,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE520Y01019,ICEMAKE,Ice Make Refrigeration Limited,ICEMAKE.NS,Industrials,Specialty Industrial Machinery,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
