isin,symbol,company_name,series,bse_code,bse_sector,bse_industry,bse_industry_new,bse_i_group,bse_i_sub_group,classification_status,classification_source,failure_reason,attempted_at_utc,attempt_count
INE066A01021,EICHERMOT,Eicher Motors Limited,EQ,505200,Consumer Discretionary,2/3 Wheelers,Automobile and Auto Components,Automobiles,2/3 Wheelers,CLASSIFIED,,,,0
INE126A01031,EIDPARRY,EID Parry India Limited,EQ,500125,Fast Moving Consumer Goods,Other Food Products,Fast Moving Consumer Goods,Food Products,Other Food Products,CLASSIFIED,,,,0
INE0LLY01014,EIEL,Enviro Infra Engineers Limited,EQ,544290,Utilities,Water Supply & Management,Utilities,Other Utilities,Water Supply & Management,CLASSIFIED,,,,0
INE546V01010,EIFFL,Euro India Fresh Foods Limited,BE,,,,,,,BSE_RETRY,,No BSE code found for ISIN,2026-09-07T12:51:15Z,1
INE276C01014,EIHAHOTELS,EIH Associated Hotels Limited,EQ,523127,Consumer Discretionary,Hotels & Resorts,Consumer Services,Leisure Services,Hotels & Resorts,CLASSIFIED,,,,0
INE230A01023,EIHOTEL,EIH Limited,EQ,500840,Consumer Discretionary,Hotels & Resorts,Consumer Services,Leisure Services,Hotels & Resorts,CLASSIFIED,,,,0
INE158B01016,EIMCOELECO,Eimco Elecon (India) Limited,EQ,523708,Industrials,Industrial Products,Capital Goods,Industrial Manufacturing,Industrial Products,CLASSIFIED,,,,0
INE184H01027,EKC,Everest Kanto Cylinder Limited,EQ,532684,Industrials,Industrial Products,Capital Goods,Industrial Manufacturing,Industrial Products,CLASSIFIED,,,,0
INE0CPR01018,EKI,EKI Energy Services Limited,EQ,543284,Services,Consulting Services,Services,Commercial Services & Supplies,Consulting Services,CLASSIFIED,,,,0
INE280B01018,ELANTAS,Elantas Beck India Limited,EQ,500123,Commodities,Specialty Chemicals,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,CLASSIFIED,,,,0
INE927X01018,ELCIDIN,EL CID Investments Limited,EQ,503681,Financial Services,Investment Company,Financial Services,Finance,Investment Company,CLASSIFIED,,,,0
INE668G01021,ELDEHSG,Eldeco Housing And Industries Limited,EQ,523329,Consumer Discretionary,"Residential, Commercial Projects",Realty,Realty,"Residential, Commercial Projects",CLASSIFIED,,,,0
INE205B01031,ELECON,Elecon Engineering Company Limited,EQ,505700,Industrials,Heavy Electrical Equipment,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,CLASSIFIED,,,,0
INE086A01029,ELECTCAST,Electrosteel Castings Limited,EQ,500128,Industrials,Iron & Steel Products,Capital Goods,Industrial Products,Iron & Steel Products,CLASSIFIED,,,,0
INE822G01016,ELECTHERM,Electrotherm (India) Limited,EQ,526608,Industrials,Iron & Steel Products,Capital Goods,Industrial Products,Iron & Steel Products,CLASSIFIED,,,,0
INE285A01027,ELGIEQUIP,Elgi Equipments Limited,EQ,522074,Industrials,"Compressors, Pumps & Diesel Engines",Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines",CLASSIFIED,,,,0
INE819L01012,ELGIRUBCO,Elgi Rubber Company Limited,EQ,,,,,,,BSE_RETRY,,No BSE code found for ISIN,2026-09-07T12:51:15Z,1
INE050401020,ELIN,Elin Electronics Limited,EQ,543725,Consumer Discretionary,Household Appliances,Consumer Durables,Consumer Durables,Household Appliances,CLASSIFIED,,,,0
INE669R01026,ELITECON,Elitecon International Limited,EQ,539533,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products,CLASSIFIED,,,,0
INE236E01022,ELLEN,Ellenbarrie Industrial Gases Limited,EQ,544421,Commodities,Industrial Gases,Chemicals,Chemicals & Petrochemicals,Industrial Gases,CLASSIFIED,,,,0
INE579B01039,ELPROINTL,Elpro International Limited,EQ,504000,Consumer Discretionary,"Residential, Commercial Projects",Realty,Realty,"Residential, Commercial Projects",CLASSIFIED,,,,0
INE548C01032,EMAMILTD,Emami Limited,EQ,531162,Fast Moving Consumer Goods,Personal Care,Fast Moving Consumer Goods,Personal Products,Personal Care,CLASSIFIED,,,,0
INE830C01026,EMAMIPAP,Emami Paper Mills Limited,BE,533208,Commodities,Paper & Paper Products,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,CLASSIFIED,,,,0
INE778K01012,EMAMIREAL,Emami Realty Limited,EQ,533218,Consumer Discretionary,"Residential, Commercial Projects",Realty,Realty,"Residential, Commercial Projects",CLASSIFIED,,,,0
INE069I01010,EMBDL,Embassy Developments Limited,EQ,532832,Consumer Discretionary,"Residential, Commercial Projects",Realty,Realty,"Residential, Commercial Projects",CLASSIFIED,,,,0
INE168P01015,EMCURE,Emcure Pharmaceuticals Limited,EQ,544210,Healthcare,Pharmaceuticals,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,CLASSIFIED,,,,0
INE02YR01019,EMIL,Electronics Mart India Limited,EQ,543626,Consumer Discretionary,Diversified Retail,Consumer Services,Retailing,Diversified Retail,CLASSIFIED,,,,0
INE296H01011,EMKAY,Emkay Global Financial Services Limited,EQ,532737,Financial Services,Stockbroking & Allied,Financial Services,Capital Markets,Stockbroking & Allied,CLASSIFIED,,,,0
INE753K01015,EMMBI,Emmbi Industries Limited,BE,533161,Industrials,Packaging,Capital Goods,Industrial Products,Packaging,CLASSIFIED,,,,0
INE1C6T01020,EMMVEE,Emmvee Photovoltaic Power Limited,EQ,544608,Industrials,Other Electrical Equipment,Capital Goods,Electrical Equipment,Other Electrical Equipment,CLASSIFIED,,,,0
INE515H01014,EMPIND,Empire Industries Limited,EQ,509525,Diversified,Diversified,Diversified,Diversified,Diversified,CLASSIFIED,,,,0
INE507F01023,EMPOWER,Empower India Limited,EQ,504351,Information Technology,Computers - Software & Consulting,Information Technology,IT - Software,Computers - Software & Consulting,CLASSIFIED,,,,0
INE0OV601013,EMSLIMITED,EMS Limited,EQ,543983,Utilities,Waste Management,Utilities,Other Utilities,Waste Management,CLASSIFIED,,,,0
INE01QM01018,EMUDHRA,eMudhra Limited,EQ,543533,Information Technology,IT Enabled Services,Information Technology,IT - Services,IT Enabled Services,CLASSIFIED,,,,0
INE913H01037,ENDURANCE,Endurance Technologies Limited,EQ,540153,Consumer Discretionary,Auto Components & Equipments,Automobile and Auto Components,Auto Components,Auto Components & Equipments,CLASSIFIED,,,,0
INE306C01019,ENERGYDEV,Energy Development Company Limited,EQ,532219,Utilities,Power Generation,Power,Power,Power Generation,CLASSIFIED,,,,0
INE510A01028,ENGINERSIN,Engineers India Limited,EQ,532178,Industrials,Civil Construction,Construction,Construction,Civil Construction,CLASSIFIED,,,,0
INE265F01028,ENIL,Entertainment Network (India) Limited,EQ,532700,Consumer Discretionary,Media & Entertainment,"Media, Entertainment & Publication",Entertainment,Media & Entertainment,CLASSIFIED,,,,0
INE130L01014,ENKEIWHEL,Enkei Wheels (India) Limited,EQ,533477,Consumer Discretionary,Auto Components & Equipments,Automobile and Auto Components,Auto Components,Auto Components & Equipments,CLASSIFIED,,,,0
INE1NPP01017,ENRIN,Siemens Energy India Limited,EQ,544390,Industrials,Heavy Electrical Equipment,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,CLASSIFIED,,,,0
INE010601016,ENTERO,Entero Healthcare Solutions Limited,EQ,544122,Consumer Discretionary,Pharmacy Retail,Consumer Services,Retailing,Pharmacy Retail,CLASSIFIED,,,,0
INE0G5901015,EPACK,EPACK Durable Limited,EQ,544095,Consumer Discretionary,Household Appliances,Consumer Durables,Consumer Durables,Household Appliances,CLASSIFIED,,,,0
INE0MLS01022,EPACKPEB,EPack Prefab Technologies Limited,EQ,544540,Industrials,Industrial Products,Capital Goods,Industrial Manufacturing,Industrial Products,CLASSIFIED,,,,0
INE071N01016,EPIGRAL,Epigral Limited,EQ,543332,Commodities,Specialty Chemicals,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,CLASSIFIED,,,,0
INE255A01020,EPL,EPL Limited,EQ,500135,Industrials,Packaging,Capital Goods,Industrial Products,Packaging,CLASSIFIED,,,,0
INE217G01035,EQUIPPP,Equippp Social Impact Technologies Limited,BE,590057,Information Technology,Computers - Software & Consulting,Information Technology,IT - Software,Computers - Software & Consulting,CLASSIFIED,,,,0
INE063P01018,EQUITASBNK,Equitas Small Finance Bank Limited,EQ,543243,Financial Services,Other Bank,Financial Services,Banks,Other Bank,CLASSIFIED,,,,0
INE406M01024,ERIS,Eris Lifesciences Limited,EQ,540596,Healthcare,Pharmaceuticals,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,CLASSIFIED,,,,0
INE284A01012,ESABINDIA,Esab India Limited,EQ,500133,Industrials,Other Industrial Products,Capital Goods,Industrial Products,Other Industrial Products,CLASSIFIED,,,,0
INE818W01011,ESAFSFB,ESAF Small Finance Bank Limited,BE,544020,Financial Services,Other Bank,Financial Services,Banks,Other Bank,CLASSIFIED,,,,0
INE042A01014,ESCORTS,Escorts Kubota Limited,EQ,500495,Industrials,Tractors,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Tractors,CLASSIFIED,,,,0
INE122M01019,ESSARSHPNG,Essar Shipping Limited,EQ,533704,Services,Shipping,Services,Transport Services,Shipping,CLASSIFIED,,,,0
INE418N01035,ESSENTIA,Integra Essentia Limited,EQ,535958,Services,Trading & Distributors,Services,Commercial Services & Supplies,Trading & Distributors,CLASSIFIED,,,,0
INE778B01029,ESTER,Ester Industries Limited,EQ,500136,Industrials,Packaging,Capital Goods,Industrial Products,Packaging,CLASSIFIED,,,,0
INE758T01015,ETERNAL,ETERNAL LIMITED,EQ,543320,Consumer Discretionary,E-Retail/ E-Commerce,Consumer Services,Retailing,E-Retail/ E-Commerce,CLASSIFIED,,,,0
INE04TZ01018,ETHOSLTD,Ethos Limited,EQ,543532,Consumer Discretionary,"Gems, Jewellery And Watches",Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches",CLASSIFIED,,,,0
INE0KCE01017,EUREKAFORB,Eureka Forbes Limited,EQ,543482,Consumer Discretionary,Household Appliances,Consumer Durables,Consumer Durables,Household Appliances,CLASSIFIED,,,,0
INE505V01016,EUROBOND,Euro Panel Products Limited,EQ,544461,Industrials,"Aluminium, Copper & Zinc Products",Capital Goods,Industrial Products,"Aluminium, Copper & Zinc Products",CLASSIFIED,,,,0
INE198501012,EUROPRATIK,Euro Pratik Sales Limited,EQ,544519,Consumer Discretionary,"Furniture, Home Furnishing",Consumer Durables,Consumer Durables,"Furniture, Home Furnishing",CLASSIFIED,,,,0
INE022C01012,EUROTEXIND,Eurotex Industries and Exports Limited,BE,521014,Consumer Discretionary,Other Textile Products,Textiles,Textiles & Apparels,Other Textile Products,CLASSIFIED,,,,0
INE128A01029,EVEREADY,Eveready Industries India Limited,EQ,531508,Fast Moving Consumer Goods,Household Products,Fast Moving Consumer Goods,Household Products,Household Products,CLASSIFIED,,,,0
INE295A01018,EVERESTIND,Everest Industries Limited,BE,508906,Commodities,Other Construction Materials,Construction Materials,Other Construction Materials,Other Construction Materials,CLASSIFIED,,,,0
INE369A01029,EXCELINDUS,Excel Industries Limited,EQ,500650,Commodities,Specialty Chemicals,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,CLASSIFIED,,,,0
INE606N01019,EXCELSOFT,Excelsoft Technologies Limited,EQ,544617,Information Technology,IT Enabled Services,Information Technology,IT - Services,IT Enabled Services,CLASSIFIED,,,,0
INE777F01014,EXICOM,Exicom Tele-Systems Limited,EQ,544133,Industrials,Heavy Electrical Equipment,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,CLASSIFIED,,,,0
INE302A01020,EXIDEIND,Exide Industries Limited,EQ,500086,Consumer Discretionary,Auto Components & Equipments,Automobile and Auto Components,Auto Components,Auto Components & Equipments,CLASSIFIED,,,,0
INE201K01015,EXPLEOSOL,Expleo Solutions Limited,EQ,533121,Information Technology,IT Enabled Services,Information Technology,IT - Services,IT Enabled Services,CLASSIFIED,,,,0
INE0GFE01026,EXXARO,Exxaro Tiles Limited,EQ,543327,Consumer Discretionary,Ceramics,Consumer Durables,Consumer Durables,Ceramics,CLASSIFIED,,,,0
INE0HF201011,FABTECH,Fabtech Technologies Limited,EQ,544558,Healthcare,Medical Equipment & Supplies,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies,CLASSIFIED,,,,0
INE188A01015,FACT,Fertilizers and Chemicals Travancore Limited,EQ,590024,Commodities,Fertilizers,Chemicals,Fertilizers & Agrochemicals,Fertilizers,CLASSIFIED,,,,0
INE0DNW01011,FAIRCHEMOR,Fairchem Organics Limited,BE,543252,Commodities,Specialty Chemicals,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,CLASSIFIED,,,,0
INE963C01033,FAZE3Q,Faze Three Limited,EQ,530079,Consumer Discretionary,Other Textile Products,Textiles,Textiles & Apparels,Other Textile Products,CLASSIFIED,,,,0
INE045J01034,FCL,Fineotex Chemical Limited,EQ,533333,Commodities,Specialty Chemicals,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,CLASSIFIED,,,,0
INE512B01022,FCSSOFT,FCS Software Solutions Limited,EQ,532666,Information Technology,IT Enabled Services,Information Technology,IT - Services,IT Enabled Services,CLASSIFIED,,,,0
INE258B01022,FDC,FDC Limited,EQ,531599,Healthcare,Pharmaceuticals,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,CLASSIFIED,,,,0
INE417D01020,FEDDERSHOL,Fedders Holding Limited,EQ,511628,Financial Services,Non Banking Financial Company (NBFC),Financial Services,Finance,Non Banking Financial Company (NBFC),CLASSIFIED,,,,0
INE171A01029,FEDERALBNK,The Federal Bank  Limited,EQ,500469,Financial Services,Private Sector Bank,Financial Services,Banks,Private Sector Bank,CLASSIFIED,,,,0
INE007N01010,FEDFINA,Fedbank Financial Services Limited,EQ,544027,Financial Services,Non Banking Financial Company (NBFC),Financial Services,Finance,Non Banking Financial Company (NBFC),CLASSIFIED,,,,0
INE623B01027,FEL,Future Enterprises Limited,BZ,523574,Consumer Discretionary,Diversified Retail,Consumer Services,Retailing,Diversified Retail,CLASSIFIED,,,,0
IN9623B01058,FELDVR,Future Enterprises Limited,BZ,570002,Consumer Discretionary,Diversified Retail,Consumer Services,Retailing,Diversified Retail,CLASSIFIED,,,,0
INE225B01021,FERMENTA,Fermenta Biotech Limited,EQ,506414,Healthcare,Pharmaceuticals,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,CLASSIFIED,,,,0
INE296C01020,FIBERWEB,Fiberweb (India) Limited,EQ,507910,Consumer Discretionary,Other Textile Products,Textiles,Textiles & Apparels,Other Textile Products,CLASSIFIED,,,,0
INE737H01014,FIEMIND,Fiem Industries Limited,EQ,532768,Consumer Discretionary,Auto Components & Equipments,Automobile and Auto Components,Auto Components,Auto Components & Equipments,CLASSIFIED,,,,0
INE816B01035,FILATEX,Filatex India Limited,EQ,526227,Consumer Discretionary,Other Textile Products,Textiles,Textiles & Apparels,Other Textile Products,CLASSIFIED,,,,0
INE185E01021,FILATFASH,Filatex Fashions Limited,EQ,532022,Consumer Discretionary,Garments & Apparels,Textiles,Textiles & Apparels,Garments & Apparels,CLASSIFIED,,,,0
INE235A01022,FINCABLES,Finolex Cables Limited,EQ,500144,Industrials,Cables - Electricals,Capital Goods,Industrial Products,Cables - Electricals,CLASSIFIED,,,,0
INE686Y01026,FINEORG,Fine Organic Industries Limited,EQ,541557,Commodities,Specialty Chemicals,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,CLASSIFIED,,,,0
INE734I01027,FINKURVE,Finkurve Financial Services Limited,EQ,508954,Financial Services,Non Banking Financial Company (NBFC),Financial Services,Finance,Non Banking Financial Company (NBFC),CLASSIFIED,,,,0
INE02NC01014,FINOPB,Fino Payments Bank Limited,EQ,543386,Financial Services,Other Bank,Financial Services,Banks,Other Bank,CLASSIFIED,,,,0
INE183A01024,FINPIPE,Finolex Industries Limited,EQ,500940,Industrials,Plastic Products - Industrial,Capital Goods,Industrial Products,Plastic Products - Industrial,CLASSIFIED,,,,0
INE02RE01045,FIRSTCRY,Brainbees Solutions Limited,EQ,544226,Consumer Discretionary,E-Retail/ E-Commerce,Consumer Services,Retailing,E-Retail/ E-Commerce,CLASSIFIED,,,,0
INE771F01041,FISCHER,Fischer Medical Ventures Limited,EQ,524743,Healthcare,Medical Equipment & Supplies,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies,CLASSIFIED,,,,0
INE128S01021,FIVESTAR,Five-Star Business Finance Limited,EQ,543663,Financial Services,Non Banking Financial Company (NBFC),Financial Services,Finance,Non Banking Financial Company (NBFC),CLASSIFIED,,,,0
INE00Y201027,FLAIR,Flair Writing Industries Limited,EQ,544030,Fast Moving Consumer Goods,Stationary,Fast Moving Consumer Goods,Household Products,Stationary,CLASSIFIED,,,,0
INE060J01017,FLEXITUFF,Flexituff Ventures International Limited,BE,533638,Consumer Discretionary,Other Textile Products,Textiles,Textiles & Apparels,Other Textile Products,CLASSIFIED,,,,0
INE452O01016,FLFL,Future Lifestyle Fashions Limited,BZ,536507,Consumer Discretionary,Diversified Retail,Consumer Services,Retailing,Diversified Retail,CLASSIFIED,,,,0
INE09N301011,FLUOROCHEM,Gujarat Fluorochemicals Limited,EQ,542812,Commodities,Specialty Chemicals,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,CLASSIFIED,,,,0
INE529A01010,FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ,505744,Consumer Discretionary,Auto Components & Equipments,Automobile and Auto Components,Auto Components,Auto Components & Equipments,CLASSIFIED,,,,0
INE360L01017,FMNL,Future Market Networks Limited,BE,533296,Services,Diversified Commercial Services,Services,Commercial Services & Supplies,Diversified Commercial Services,CLASSIFIED,,,,0
INE593W01028,FOCUS,Focus Lighting and Fixtures Limited,BE,,,,,,,BSE_RETRY,,No BSE code found for ISIN,2026-09-07T12:51:15Z,1
INE976E01023,FOODSIN,Foods & Inns Limited,EQ,507552,Fast Moving Consumer Goods,Packaged Foods,Fast Moving Consumer Goods,Food Products,Packaged Foods,CLASSIFIED,,,,0
INE451A01017,FORCEMOT,FORCE MOTORS LTD,EQ,500033,Consumer Discretionary,Passenger Cars & Utility Vehicles,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,CLASSIFIED,,,,0
INE061F01013,FORTIS,Fortis Healthcare Limited,EQ,532843,Healthcare,Hospital,Healthcare,Healthcare Services,Hospital,CLASSIFIED,,,,0
INE519A01011,FOSECOIND,Foseco India Limited,EQ,500150,Commodities,Specialty Chemicals,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,CLASSIFIED,,,,0
INE212S01015,FRACTAL,Fractal Analytics Limited,EQ,544700,Information Technology,Computers - Software & Consulting,Information Technology,IT - Software,Computers - Software & Consulting,CLASSIFIED,,,,0
INE194R01017,FREDUN,Fredun Pharmaceuticals Limited,EQ,539730,Healthcare,Pharmaceuticals,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,CLASSIFIED,,,,0
INE572D01014,FRONTSP,Frontier Springs Limited,EQ,522195,Consumer Discretionary,Auto Components & Equipments,Automobile and Auto Components,Auto Components,Auto Components & Equipments,CLASSIFIED,,,,0
INE684F01012,FSL,Firstsource Solutions Limited,EQ,532809,Services,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),CLASSIFIED,,,,0
INE139R01012,FUSION,Fusion Finance Limited,EQ,543652,Financial Services,Microfinance Institutions,Financial Services,Finance,Microfinance Institutions,CLASSIFIED,,,,0
INE524A01029,GABRIEL,Gabriel India Limited,EQ,505714,Consumer Discretionary,Auto Components & Equipments,Automobile and Auto Components,Auto Components,Auto Components & Equipments,CLASSIFIED,,,,0
INE036B01030,GAEL,Gujarat Ambuja Exports Limited,EQ,524226,Fast Moving Consumer Goods,Other Agricultural Products,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,CLASSIFIED,,,,0
INE129A01019,GAIL,GAIL (India) Limited,EQ,532155,Energy,Gas Transmission/Marketing,"Oil, Gas & Consumable Fuels",Gas,Gas Transmission/Marketing,CLASSIFIED,,,,0
INE0RE001014,GALAPREC,Gala Precision Engineering Limited,EQ,544244,Industrials,Industrial Products,Capital Goods,Industrial Manufacturing,Industrial Products,CLASSIFIED,,,,0
INE600K01018,GALAXYSURF,Galaxy Surfactants Limited,EQ,540935,Commodities,Specialty Chemicals,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,CLASSIFIED,,,,0
INE297H01019,GALLANTT,Gallantt Ispat Limited,EQ,532726,Industrials,Iron & Steel Products,Capital Goods,Industrial Products,Iron & Steel Products,CLASSIFIED,,,,0
INE717W01049,GANDHAR,Gandhar Oil Refinery (India) Limited,EQ,544029,Energy,Lubricants,"Oil, Gas & Consumable Fuels",Petroleum Products,Lubricants,CLASSIFIED,,,,0
INE524B01027,GANDHITUBE,Gandhi Special Tubes Limited,EQ,513108,Industrials,Iron & Steel Products,Capital Goods,Industrial Products,Iron & Steel Products,CLASSIFIED,,,,0
INE845D01014,GANECOS,Ganesha Ecosphere Limited,EQ,514167,Consumer Discretionary,Other Textile Products,Textiles,Textiles & Apparels,Other Textile Products,CLASSIFIED,,,,0
INE388A01029,GANESHBE,Ganesh Benzoplast Limited,BE,500153,Energy,Oil Storage & Transportation,"Oil, Gas & Consumable Fuels",Oil,Oil Storage & Transportation,CLASSIFIED,,,,0
INE652V01016,GANESHCP,Ganesh Consumer Products Limited,EQ,544528,Fast Moving Consumer Goods,Packaged Foods,Fast Moving Consumer Goods,Food Products,Packaged Foods,CLASSIFIED,,,,0
INE460C01014,GANESHHOU,GANESH HOUSING LIMITED,EQ,526367,Consumer Discretionary,"Residential, Commercial Projects",Realty,Realty,"Residential, Commercial Projects",CLASSIFIED,,,,0
INE691Z01023,GANGAFORGE,Ganga Forging Limited,EQ,,,,,,,BSE_RETRY,,No BSE code found for ISIN,2026-09-07T12:51:15Z,1
INE335W01016,GANGESSECU,Ganges Securities Limited,EQ,540647,Fast Moving Consumer Goods,Tea & Coffee,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee,CLASSIFIED,,,,0
INE276A01018,GARFIBRES,Garware Technical Fibres Limited,EQ,509557,Consumer Discretionary,Other Textile Products,Textiles,Textiles & Apparels,Other Textile Products,CLASSIFIED,,,,0
INE0JVO01026,GARUDA,Garuda Construction and Engineering Limited,EQ,544271,Industrials,Civil Construction,Construction,Construction,Civil Construction,CLASSIFIED,,,,0
INE224E01028,GATECH,GACM Technologies Limited,BE,531723,Financial Services,Other Financial Services,Financial Services,Finance,Other Financial Services,CLASSIFIED,,,,0
INE224E01036,GATECHDVR,GACM Technologies Limited,BE,570005,Financial Services,Other Financial Services,Financial Services,Finance,Other Financial Services,CLASSIFIED,,,,0
INE079J01017,GATEWAY,Gateway Distriparks Limited,EQ,543489,Services,Logistics Solution Provider,Services,Transport Services,Logistics Solution Provider,CLASSIFIED,,,,0
INE0P8B01020,GAUDIUMIVF,Gaudium IVF and Women Health Limited,BE,544709,Healthcare,Healthcare Service Provider,Healthcare,Healthcare Services,Healthcare Service Provider,CLASSIFIED,,,,0
INE287Z01012,GAYAHWS,Gayatri Highways Limited,EQ,541546,Services,"Road Assets–Toll, Annuity, Hybrid-Annuity",Services,Transport Infrastructure,"Road Assets–Toll, Annuity, Hybrid-Annuity",CLASSIFIED,,,,0
INE336H01023,GAYAPROJ,Gayatri Projects Limited,BE,532767,Industrials,Civil Construction,Construction,Construction,Civil Construction,CLASSIFIED,,,,0
INE199P01028,GCSL,Gretex Corporate Services Limited,EQ,543324,Financial Services,Other Capital Market related Services,Financial Services,Capital Markets,Other Capital Market related Services,CLASSIFIED,,,,0
INE916G01016,GEECEE,GeeCee Ventures Limited,BE,532764,Consumer Discretionary,"Residential, Commercial Projects",Realty,Realty,"Residential, Commercial Projects",CLASSIFIED,,,,0
INE669X01032,GEEKAYWIRE,Geekay Wires Limited,EQ,,,,,,,BSE_RETRY,,No BSE code found for ISIN,2026-09-07T12:51:15Z,1
INE06XZ01023,GEMAROMA,Gem Aromatics Limited,EQ,544491,Commodities,Specialty Chemicals,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,CLASSIFIED,,,,0
INE854S01022,GENCON,Generic Engineering Construction and Projects Limited,EQ,539407,Consumer Discretionary,"Residential, Commercial Projects",Realty,Realty,"Residential, Commercial Projects",CLASSIFIED,,,,0
INE727B01026,GENESYS,Genesys International Corporation Limited,EQ,506109,Information Technology,IT Enabled Services,Information Technology,IT - Services,IT Enabled Services,CLASSIFIED,,,,0
INE06H201014,GENSOL,Gensol Engineering Limited,BZ,542851,Industrials,Other Electrical Equipment,Capital Goods,Electrical Equipment,Other Electrical Equipment,CLASSIFIED,,,,0
INE949P01018,GENUSPAPER,Genus Paper & Boards Limited,EQ,538961,Commodities,Paper & Paper Products,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,CLASSIFIED,,,,0
INE955D01029,GENUSPOWER,Genus Power Infrastructures Limited,EQ,530343,Industrials,Other Electrical Equipment,Capital Goods,Electrical Equipment,Other Electrical Equipment,CLASSIFIED,,,,0
INE007B01023,GEOJITFSL,Geojit Financial Services Limited,EQ,532285,Financial Services,Stockbroking & Allied,Financial Services,Capital Markets,Stockbroking & Allied,CLASSIFIED,,,,0
INE017A01032,GESHIP,The Great Eastern Shipping Company Limited,EQ,500620,Services,Shipping,Services,Transport Services,Shipping,CLASSIFIED,,,,0
INE538A01037,GFLLIMITED,GFL Limited,EQ,500173,Financial Services,Holding Company,Financial Services,Finance,Holding Company,CLASSIFIED,,,,0
INE539A01019,GHCL,GHCL Limited,EQ,500171,Commodities,Commodity Chemicals,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,CLASSIFIED,,,,0
INE0PA801013,GHCLTEXTIL,GHCL Textiles Limited,EQ,543918,Consumer Discretionary,Other Textile Products,Textiles,Textiles & Apparels,Other Textile Products,CLASSIFIED,,,,0
INE289B01019,GICHSGFIN,GIC Housing Finance Limited,EQ,511676,Financial Services,Housing Finance Company,Financial Services,Finance,Housing Finance Company,CLASSIFIED,,,,0
INE947T01022,GICL,Globe International Carriers Limited,EQ,,,,,,,BSE_RETRY,,No BSE code found for ISIN,2026-09-07T12:51:15Z,1
INE481Y01014,GICRE,General Insurance Corporation of India,EQ,540755,Financial Services,General Insurance,Financial Services,Insurance,General Insurance,CLASSIFIED,,,,0
INE047B01011,GILLANDERS,Gillanders Arbuthnot & Company Limited,EQ,532716,Fast Moving Consumer Goods,Tea & Coffee,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee,CLASSIFIED,,,,0
INE322A01010,GILLETTE,Gillette India Limited,EQ,507815,Fast Moving Consumer Goods,Personal Care,Fast Moving Consumer Goods,Personal Products,Personal Care,CLASSIFIED,,,,0
INE424C01010,GINNIFILA,Ginni Filaments Limited,BE,590025,Consumer Discretionary,Other Textile Products,Textiles,Textiles & Apparels,Other Textile Products,CLASSIFIED,,,,0
INE162A01010,GIPCL,Gujarat Industries Power Company Limited,EQ,517300,Utilities,Power Generation,Power,Power,Power Generation,CLASSIFIED,,,,0
INE265D01015,GKB,GKB Ophthalmics Limited,EQ,533212,Healthcare,Medical Equipment & Supplies,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies,CLASSIFIED,,,,0
INE1AG301022,GKENERGY,GK Energy Limited,EQ,544525,Industrials,Civil Construction,Construction,Construction,Civil Construction,CLASSIFIED,,,,0
INE0V0W01025,GKSL,Gujarat Kidney And Super Speciality Limited,EQ,544666,Healthcare,Hospital,Healthcare,Healthcare Services,Hospital,CLASSIFIED,,,,0
