symbol,company_name,series,isin,listing_date,classification_status,classification_source,sector,industry,basic_industry,yahoo_ticker,yahoo_sector,yahoo_industry,classification_failure_reason,yahoo_failure_reason
DANGEE,Dangee Dums Limited,EQ,INE688Y01022,2020-11-13,YAHOO_FALLBACK,Yahoo Finance,,,,DANGEE.NS,Consumer Cyclical,Restaurants,COMPANY_NAME: IndexError: tuple index out of range,
DATAPATTNS,Data Patterns (India) Limited,EQ,INE0IX101010,2021-12-24,YAHOO_FALLBACK,Yahoo Finance,,,,DATAPATTNS.NS,Industrials,Aerospace & Defense,COMPANY_NAME: IndexError: tuple index out of range,
DBSTOCKBRO,DB (International) Stock Brokers Limited,BE,INE921B01025,2012-02-29,YAHOO_FALLBACK,Yahoo Finance,,,,DBSTOCKBRO.NS,Financial Services,Capital Markets,COMPANY_NAME: IndexError: tuple index out of range,
DCI,Dc Infotech And Communication Limited,EQ,INE0A1101019,2022-10-19,YAHOO_FALLBACK,Yahoo Finance,,,,DCI.NS,Technology,Electronics & Computer Distribution,COMPANY_NAME: IndexError: tuple index out of range,
DPSCLTD,DPSC Limited,BE,INE360C01024,2008-04-21,YAHOO_FALLBACK,Yahoo Finance,,,,DPSCLTD.NS,Utilities,Utilities - Regulated Electric,COMPANY_NAME: IndexError: tuple index out of range,
EIFFL,Euro India Fresh Foods Limited,BE,INE546V01010,2021-10-12,YAHOO_FALLBACK,Yahoo Finance,,,,EIFFL.NS,Consumer Defensive,Packaged Foods,COMPANY_NAME: IndexError: tuple index out of range,
ELGIRUBCO,Elgi Rubber Company Limited,EQ,INE819L01012,2011-08-10,YAHOO_FALLBACK,Yahoo Finance,,,,ELGIRUBCO.NS,Consumer Cyclical,Auto Parts,COMPANY_NAME: IndexError: tuple index out of range,
FOCUS,Focus Lighting and Fixtures Limited,BE,INE593W01028,2021-11-24,YAHOO_FALLBACK,Yahoo Finance,,,,FOCUS.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",COMPANY_NAME: IndexError: tuple index out of range,
GANGAFORGE,Ganga Forging Limited,EQ,INE691Z01023,2021-07-06,YAHOO_FALLBACK,Yahoo Finance,,,,GANGAFORGE.NS,Industrials,Metal Fabrication,COMPANY_NAME: IndexError: tuple index out of range,
GEEKAYWIRE,Geekay Wires Limited,EQ,INE669X01032,2020-03-06,YAHOO_FALLBACK,Yahoo Finance,,,,GEEKAYWIRE.NS,Industrials,Electrical Equipment & Parts,COMPANY_NAME: IndexError: tuple index out of range,
