symbol,company_name,series,isin,listing_date,classification_status,classification_source,sector,industry,basic_industry,yahoo_ticker,yahoo_sector,yahoo_industry,classification_failure_reason,yahoo_failure_reason
SINTERCOM,Sintercom India Limited,EQ,INE129Z01016,2020-10-07,YAHOO_FALLBACK,Yahoo Finance,,,,SINTERCOM.NS,Consumer Cyclical,Auto Parts,COMPANY_NAME: IndexError: tuple index out of range,
SOLEX,Solex Energy Limited,EQ,INE880Y01017,2025-10-08,YAHOO_FALLBACK,Yahoo Finance,,,,SOLEX.NS,Technology,Solar,COMPANY_NAME: IndexError: tuple index out of range,
SONAMLTD,SONAM LIMITED,EQ,INE00LM01029,2022-04-07,YAHOO_FALLBACK,Yahoo Finance,,,,SONAMLTD.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",COMPANY_NAME: IndexError: tuple index out of range,
SPCENET,Spacenet Enterprises India Limited,EQ,INE970N01027,2017-01-10,YAHOO_FALLBACK,Yahoo Finance,,,,SPCENET.NS,Financial Services,Capital Markets,COMPANY_NAME: IndexError: tuple index out of range,
SPMLINFRA,SPML Infra Limited,EQ,INE937A01023,1996-02-14,YAHOO_FALLBACK,Yahoo Finance,,,,SPMLINFRA.NS,Industrials,Engineering & Construction,COMPANY_NAME: IndexError: tuple index out of range,
STALLION,Stallion India Fluorochemicals Limited,BE,INE0RYC01010,2025-01-23,YAHOO_FALLBACK,Yahoo Finance,,,,STALLION.NS,Basic Materials,Specialty Chemicals,COMPANY_NAME: IndexError: tuple index out of range,
STEELCITY,Steel City Securities Limited,EQ,INE395H01011,2019-06-27,YAHOO_FALLBACK,Yahoo Finance,,,,STEELCITY.NS,Financial Services,Capital Markets,COMPANY_NAME: IndexError: tuple index out of range,
SUMIT,Sumit Woods Limited,EQ,INE748Z01013,2019-07-30,YAHOO_FALLBACK,Yahoo Finance,,,,SUMIT.NS,Real Estate,Real Estate - Development,COMPANY_NAME: IndexError: tuple index out of range,
SUPREMEENG,Supreme Engineering Limited,BZ,INE319Z01021,2020-12-04,YAHOO_FALLBACK,Yahoo Finance,,,,SUPREMEENG.NS,Basic Materials,Steel,COMPANY_NAME: IndexError: tuple index out of range,
SVLL,Shree Vasu Logistics Limited,BE,INE00CE01017,2023-04-21,YAHOO_FALLBACK,Yahoo Finance,,,,SVLL.NS,Industrials,Trucking,COMPANY_NAME: IndexError: tuple index out of range,
TARACHAND,Tara Chand InfraLogistic Solutions Limited,EQ,INE555Z01020,2024-04-16,YAHOO_FALLBACK,Yahoo Finance,,,,TARACHAND.NS,Industrials,Farm & Heavy Construction Machinery,COMPANY_NAME: IndexError: tuple index out of range,
TEMBO,Tembo Global Industries Limited,EQ,INE869Y01028,2021-04-23,YAHOO_FALLBACK,Yahoo Finance,,,,TEMBO.NS,Industrials,Metal Fabrication,COMPANY_NAME: IndexError: tuple index out of range,
THEJO,Thejo Engineering Limited,EQ,INE121N01019,2023-10-10,YAHOO_FALLBACK,Yahoo Finance,,,,THEJO.NS,Industrials,Specialty Industrial Machinery,COMPANY_NAME: IndexError: tuple index out of range,
TIRUPATIFL,Tirupati Forge Limited,BE,INE319Y01024,2020-08-04,YAHOO_FALLBACK,Yahoo Finance,,,,TIRUPATIFL.NS,Industrials,Metal Fabrication,COMPANY_NAME: IndexError: tuple index out of range,
TOTAL,Total Transport Systems Limited,EQ,INE336X01012,2020-08-28,YAHOO_FALLBACK,Yahoo Finance,,,,TOTAL.NS,Industrials,Integrated Freight & Logistics,COMPANY_NAME: IndexError: tuple index out of range,
TOUCHWOOD,Touchwood Entertainment Limited,EQ,INE486Y01013,2020-01-21,YAHOO_FALLBACK,Yahoo Finance,,,,TOUCHWOOD.NS,Communication Services,Advertising Agencies,COMPANY_NAME: IndexError: tuple index out of range,
TSFINV,TSF INVESTMENTS LIMITED,EQ,INE202Z01029,2018-03-26,YAHOO_FALLBACK,Yahoo Finance,,,,TSFINV.NS,Financial Services,Asset Management,COMPANY_NAME: IndexError: tuple index out of range,
UNIINFO,Uniinfo Telecom Services Limited,EQ,INE481Z01011,2022-01-12,YAHOO_FALLBACK,Yahoo Finance,,,,UNIINFO.NS,Communication Services,Telecom Services,COMPANY_NAME: IndexError: tuple index out of range,
UNITEDTEA,The United Nilgiri Tea Estates Company Limited,EQ,INE458F01011,2015-01-28,YAHOO_FALLBACK,Yahoo Finance,,,,UNITEDTEA.NS,Consumer Defensive,Farm Products,COMPANY_NAME: IndexError: tuple index out of range,
UNIVASTU,Univastu India Limited,BE,INE562X01013,2020-06-22,YAHOO_FALLBACK,Yahoo Finance,,,,UNIVASTU.NS,Industrials,Engineering & Construction,COMPANY_NAME: IndexError: tuple index out of range,
VAISHALI,Vaishali Pharma Limited,EQ,INE972X01022,2020-01-15,YAHOO_FALLBACK,Yahoo Finance,,,,VAISHALI.NS,Healthcare,Drug Manufacturers - Specialty & Generic,COMPANY_NAME: IndexError: tuple index out of range,
VARDHACRLC,Vardhman Acrylics Limited,BE,INE116G01013,2003-09-30,YAHOO_FALLBACK,Yahoo Finance,,,,VARDHACRLC.NS,Consumer Cyclical,Textile Manufacturing,COMPANY_NAME: IndexError: tuple index out of range,
VCL,Vaxtex Cotfab Limited,BE,INE098201036,2022-04-19,YAHOO_FALLBACK,Yahoo Finance,,,,VCL.NS,Consumer Cyclical,Textile Manufacturing,COMPANY_NAME: IndexError: tuple index out of range,
VERTOZ,Vertoz Limited,BE,INE188Y01031,2020-05-14,YAHOO_FALLBACK,Yahoo Finance,,,,VERTOZ.NS,Technology,Software - Infrastructure,COMPANY_NAME: IndexError: tuple index out of range,
VITAL,Vital Chemtech Limited,BE,INE0L4K01016,2026-03-11,YAHOO_FALLBACK,Yahoo Finance,,,,VITAL.NS,Basic Materials,Specialty Chemicals,COMPANY_NAME: IndexError: tuple index out of range,
VIVIANA,Viviana Power Tech Limited,BE,INE0MEG01014,2026-06-02,YAHOO_FALLBACK,Yahoo Finance,,,,VIVIANA.NS,Industrials,Engineering & Construction,COMPANY_NAME: IndexError: tuple index out of range,
WIPL,The Western India Plywoods Limited,EQ,INE215F01023,2017-04-17,YAHOO_FALLBACK,Yahoo Finance,,,,WIPL.NS,Basic Materials,Lumber & Wood Production,COMPANY_NAME: IndexError: tuple index out of range,
ZOTA,Zota Health Care LImited,EQ,INE358U01012,2019-08-19,YAHOO_FALLBACK,Yahoo Finance,,,,ZOTA.NS,Healthcare,Biotechnology,COMPANY_NAME: IndexError: tuple index out of range,
