Symbol,Industry
ENDURANCE,Automobile And Auto Components
ENGINERSIN,Construction
ENRIN,Capital Goods
ENTERO,Consumer Services
EPL,Capital Goods
EQUITASBNK,Private Bank
ERIS,Healthcare
ESCORTS,Capital Goods
ETERNAL,Consumer Services
ETHOSLTD,Consumer Durables
EUREKAFORB,Consumer Durables
EXIDEIND,Automobile And Auto Components
FACT,Chemicals
FEDERALBNK,Private Bank
FEDFINA,Private Bank
FIEMIND,Automobile And Auto Components
FINCABLES,Capital Goods
FINNIFTY,Index / Derivatives
FINPIPE,Capital Goods
FIRSTCRY,Consumer Services
FIVESTAR,NBFC
FLUOROCHEM,Chemicals
FORCEMOT,Automobile And Auto Components
FORTIS,Healthcare
FSL,Services
GABRIEL,Automobile And Auto Components
GAEL,Fast Moving Consumer Goods
GAIL,Oil Gas & Consumable Fuels
GALLANTT,Capital Goods
GESHIP,Services
GHCL,Chemicals
GICRE,Insurance
GILLETTE,Fast Moving Consumer Goods
GLAND,Healthcare
GLAXO,Healthcare
GLENMARK,Healthcare
GMDCLTD,Metals & Mining
GMMPFAUDLR,Capital Goods
GMRAIRPORT,Services
GMRP&UI,Power
GNFC,Chemicals
GODFRYPHLP,Fast Moving Consumer Goods
GODIGIT,Insurance
GODREJAGRO,Fast Moving Consumer Goods
GODREJCP,Fast Moving Consumer Goods
GODREJIND,Diversified
GODREJPROP,Realty
GOKEX,Textiles
GOKULAGRO,Fast Moving Consumer Goods
GOLDIAM,"Gems, Jewellery And Watches"
GPIL,Capital Goods
GPPL,Services
GRANULES,Healthcare
GRAPHITE,Capital Goods
GRASIM,Construction Materials
GRAVITA,Metals & Mining
GREAVESCOT,Capital Goods
GRINDWELL,Capital Goods
GROWW,NBFC
GRSE,Capital Goods
GRWRHITECH,Capital Goods
GSFC,Chemicals
GVT&D,Capital Goods
HAL,Capital Goods
HAPPSTMNDS,Information Technology
HATHWAY,Media Entertainment & Publication
HAVELLS,Consumer Durables
HBLENGINE,Capital Goods
HCC,Construction
HCG,Healthcare
HCLTECH,Information Technology
HDBFS,NBFC
HDFCAMC,NBFC
HDFCBANK,Private Bank
HDFCLIFE,Insurance
HEG,Capital Goods
HEMIPROP,Services
HERITGFOOD,Fast Moving Consumer Goods
HEROMOTOCO,Automobile And Auto Components
HEXT,Information Technology
HFCL,Telecommunication
HGINFRA,Construction
HINDALCO,Metals & Mining
HINDCOPPER,Metals & Mining
HINDPETRO,Oil Gas & Consumable Fuels
HINDUNILVR,Fast Moving Consumer Goods
HINDZINC,Metals & Mining
HOMEFIRST,NBFC
HONASA,Fast Moving Consumer Goods
HONAUT,Capital Goods
HSCL,Chemicals
HUDCO,NBFC
HYUNDAI,Automobile And Auto Components
ICICIAMC,NBFC
ICICIBANK,Private Bank
ICICIGI,Insurance
ICICIPRULI,Insurance
ICIL,Textiles
IDBI,Private Bank
IDEA,Telecommunication
IDFCFIRSTB,Private Bank
IEX,NBFC
IFBIND,Consumer Durables
IFCI,NBFC
IGIL,Services
IGL,Oil Gas & Consumable Fuels
IIFL,NBFC
IIFLCAPS,NBFC
IKS,Information Technology
IMFA,Metals & Mining
INDGN,Healthcare
INDHOTEL,Consumer Services
INDIACEM,Construction Materials
INDIAGLYCO,Fast Moving Consumer Goods
INDIAMART,Consumer Services
INDIANB,PSU Bank
INDIASHLTR,NBFC
INDIGO,Services
INDIGOPNTS,Consumer Durables
INDUSINDBK,Private Bank
INDUSTOWER,Telecommunication
INFY,Information Technology
INOXGREEN,Services
INOXINDIA,Capital Goods
INOXWIND,Capital Goods
INTELLECT,Information Technology
IOB,PSU Bank
IOC,Oil Gas & Consumable Fuels
IONEXCHANG,Utilities
IPCALAB,Healthcare
IRB,Construction
IRCON,Construction
IRCTC,Consumer Services
IREDA,NBFC
IRFC,NBFC
ITC,Fast Moving Consumer Goods
ITCHOTELS,Consumer Services
ITI,Telecommunication
IXIGO,Consumer Services
J&KBANK,Private Bank
JAIBALAJI,Metals & Mining
JAINREC,Metals & Mining
JAMNAAUTO,Automobile And Auto Components
JAYNECOIND,Capital Goods
JBMA,Automobile And Auto Components
JINDALSAW,Capital Goods
JINDALSTEL,Metals & Mining
JIOFIN,NBFC
JKCEMENT,Construction Materials
JKLAKSHMI,Construction Materials
JKPAPER,Forest Materials
JKTYRE,Automobile And Auto Components
JLHL,Healthcare
JMFINANCIL,NBFC
JPPOWER,Power
JSFB,Private Bank
JSL,Metals & Mining
JSLL,Consumer Services
JSWCEMENT,Construction Materials
JSWDULUX,Consumer Durables
JSWENERGY,Power
JSWINFRA,Services
JSWSTEEL,Metals & Mining
JUBLFOOD,Consumer Services
JUBLINGREA,Chemicals
JUBLPHARMA,Healthcare
JUSTDIAL,Consumer Services
JWL,Capital Goods
JYOTHYLAB,Fast Moving Consumer Goods
JYOTICNC,Capital Goods
KAJARIACER,Consumer Durables
KALYANKJIL,Consumer Durables
KANSAINER,Consumer Durables
KARURVYSYA,Private Bank
KAYNES,Capital Goods
KEC,Construction
KEI,Capital Goods
KFINTECH,NBFC
KIMS,Healthcare
KIRLOSBROS,Capital Goods
KIRLOSENG,Capital Goods
KIRLPNU,Capital Goods
KITEX,Textiles
KNRCON,Construction
KOTAKBANK,Private Bank
KPIGREEN,Power
KPIL,Construction
KPITTECH,Information Technology
KPRMILL,Textiles
KRBL,Fast Moving Consumer Goods
KRN,Capital Goods
KSB,Capital Goods
KSCL,Fast Moving Consumer Goods
KTKBANK,Private Bank
LALPATHLAB,Healthcare
LATENTVIEW,Information Technology
LAURUSLABS,Healthcare
LEMONTREE,Consumer Services
